filename,width,height,class,xmin,ymin,xmax,ymax
img_100_1000.jpg,816,1056,zebracross,351,505,386,574
img_100_1000.jpg,816,1056,zebracross,380,570,441,598
img_100_1000.jpg,816,1056,zebracross,438,495,463,568
img_100_1000.jpg,816,1056,zebracross,380,473,432,507
img_100_2000.jpg,816,1056,zebracross,194,530,209,556
img_100_2000.jpg,816,1056,zebracross,156,529,169,566
img_100_2000.jpg,816,1056,zebracross,170,563,196,578
img_100_2000.jpg,816,1056,zebracross,166,513,196,531
img_100_2000.jpg,816,1056,zebracross,420,510,437,548
img_100_2000.jpg,816,1056,zebracross,396,549,426,563
img_100_2000.jpg,816,1056,zebracross,383,515,396,550
img_100_2000.jpg,816,1056,zebracross,393,501,421,518
img_100_2000.jpg,816,1056,zebracross,605,500,620,534
img_100_2000.jpg,816,1056,zebracross,618,486,648,506
img_100_2000.jpg,816,1056,zebracross,623,536,649,549
img_100_2000.jpg,816,1056,zebracross,647,508,660,534
img_100_2000.jpg,816,1056,zebracross,194,1012,224,1024
img_100_2000.jpg,816,1056,zebracross,185,1036,198,1056
img_100_2000.jpg,816,1056,zebracross,578,7,593,46
img_100_2000.jpg,816,1056,zebracross,592,40,626,57
img_100_2000.jpg,816,1056,zebracross,617,5,635,39
img_100_2000.jpg,816,1056,zebracross,591,1,619,12
img_100_2000.jpg,816,1056,zebracross,801,1,816,32
img_100_500.jpg,816,1056,zebracross,356,433,452,481
img_100_500.jpg,816,1056,zebracross,458,473,514,612
img_100_500.jpg,816,1056,zebracross,361,624,473,666
img_100_500.jpg,816,1056,zebracross,296,484,359,630
img_101_1000.jpg,816,1056,zebracross,348,492,380,567
img_101_1000.jpg,816,1056,zebracross,372,465,434,497
img_101_1000.jpg,816,1056,zebracross,434,495,460,533
img_101_1000.jpg,816,1056,zebracross,373,560,432,591
img_101_1000.jpg,816,1056,zebracross,800,471,816,537
img_101_2000.jpg,816,1056,zebracross,151,526,167,554
img_101_2000.jpg,816,1056,zebracross,172,557,196,573
img_101_2000.jpg,816,1056,zebracross,195,521,207,561
img_101_2000.jpg,816,1056,zebracross,165,512,195,526
img_101_2000.jpg,816,1056,zebracross,379,512,394,545
img_101_2000.jpg,816,1056,zebracross,395,544,420,558
img_101_2000.jpg,816,1056,zebracross,420,512,431,531
img_101_2000.jpg,816,1056,zebracross,391,499,419,515
img_101_2000.jpg,816,1056,zebracross,605,496,618,534
img_101_2000.jpg,816,1056,zebracross,617,531,647,543
img_101_2000.jpg,816,1056,zebracross,644,494,658,531
img_101_2000.jpg,816,1056,zebracross,616,485,643,499
img_101_2000.jpg,816,1056,zebracross,801,1,816,28
img_101_2000.jpg,816,1056,zebracross,420,993,448,1007
img_101_2000.jpg,816,1056,zebracross,447,1004,462,1026
img_101_2000.jpg,816,1056,zebracross,409,1010,418,1026
img_101_2000.jpg,816,1056,zebracross,193,1005,224,1022
img_101_2000.jpg,816,1056,zebracross,184,1036,198,1054
img_101_500.jpg,816,1056,zebracross,336,409,451,461
img_101_500.jpg,816,1056,zebracross,456,473,506,538
img_101_500.jpg,816,1056,zebracross,297,467,346,601
img_101_500.jpg,816,1056,zebracross,356,597,453,650
img_102_1000.jpg,816,1056,zebracross,392,470,443,501
img_102_1000.jpg,816,1056,zebracross,1,516,17,584
img_102_1000.jpg,816,1056,zebracross,361,499,392,561
img_102_1000.jpg,816,1056,zebracross,403,565,444,589
img_102_1000.jpg,816,1056,zebracross,445,498,470,560
img_102_2000.jpg,816,1056,zebracross,170,511,202,526
img_102_2000.jpg,816,1056,zebracross,200,524,213,557
img_102_2000.jpg,816,1056,zebracross,159,528,173,563
img_102_2000.jpg,816,1056,zebracross,173,559,200,574
img_102_2000.jpg,816,1056,zebracross,384,515,399,545
img_102_2000.jpg,816,1056,zebracross,405,546,428,563
img_102_2000.jpg,816,1056,zebracross,426,514,438,544
img_102_2000.jpg,816,1056,zebracross,397,500,426,515
img_102_2000.jpg,816,1056,zebracross,610,501,624,535
img_102_2000.jpg,816,1056,zebracross,623,531,654,549
img_102_2000.jpg,816,1056,zebracross,651,499,665,519
img_102_2000.jpg,816,1056,zebracross,622,485,651,501
img_102_2000.jpg,816,1056,zebracross,423,994,459,1008
img_102_2000.jpg,816,1056,zebracross,414,1010,428,1046
img_102_2000.jpg,816,1056,zebracross,454,1008,469,1042
img_102_2000.jpg,816,1056,zebracross,431,1043,458,1056
img_102_2000.jpg,816,1056,zebracross,653,981,678,996
img_102_2000.jpg,816,1056,zebracross,679,993,694,1031
img_102_2000.jpg,816,1056,zebracross,639,997,654,1035
img_102_2000.jpg,816,1056,zebracross,653,1030,687,1043
img_102_500.jpg,816,1056,zebracross,368,412,470,470
img_102_500.jpg,816,1056,zebracross,314,475,376,593
img_102_500.jpg,816,1056,zebracross,474,472,539,591
img_102_500.jpg,816,1056,zebracross,397,604,491,652
img_103_1000.jpg,816,1056,zebracross,373,457,433,492
img_103_1000.jpg,816,1056,zebracross,349,491,377,561
img_103_1000.jpg,816,1056,zebracross,377,552,435,585
img_103_1000.jpg,816,1056,zebracross,431,486,463,551
img_103_1000.jpg,816,1056,zebracross,797,465,816,526
img_103_2000.jpg,816,1056,zebracross,391,494,424,511
img_103_2000.jpg,816,1056,zebracross,377,509,395,543
img_103_2000.jpg,816,1056,zebracross,419,509,434,542
img_103_2000.jpg,816,1056,zebracross,393,542,421,555
img_103_2000.jpg,816,1056,zebracross,605,497,619,526
img_103_2000.jpg,816,1056,zebracross,645,496,658,528
img_103_2000.jpg,816,1056,zebracross,618,482,645,497
img_103_2000.jpg,816,1056,zebracross,625,528,647,543
img_103_2000.jpg,816,1056,zebracross,640,978,678,994
img_103_2000.jpg,816,1056,zebracross,631,994,650,1025
img_103_2000.jpg,816,1056,zebracross,673,990,687,1025
img_103_500.jpg,816,1056,zebracross,340,399,449,449
img_103_500.jpg,816,1056,zebracross,296,454,349,587
img_103_500.jpg,816,1056,zebracross,354,584,459,641
img_103_500.jpg,816,1056,zebracross,455,446,505,584
img_104_1000.jpg,816,1056,zebracross,808,472,816,532
img_104_2000.jpg,816,1056,zebracross,620,482,647,499
img_104_2000.jpg,816,1056,zebracross,647,498,662,531
img_104_2000.jpg,816,1056,zebracross,607,499,618,531
img_104_2000.jpg,816,1056,zebracross,619,530,648,544
img_104_2000.jpg,816,1056,zebracross,191,1005,222,1020
img_104_2000.jpg,816,1056,zebracross,225,1019,236,1053
img_104_2000.jpg,816,1056,zebracross,183,1023,198,1054
img_105_2000.jpg,816,1056,zebracross,417,992,446,1004
img_105_2000.jpg,816,1056,zebracross,448,1004,461,1029
img_105_2000.jpg,816,1056,zebracross,408,1005,422,1029
img_106_1000.jpg,816,1056,zebracross,1,524,19,584
img_106_2000.jpg,816,1056,zebracross,171,513,199,526
img_106_2000.jpg,816,1056,zebracross,200,525,213,559
img_106_2000.jpg,816,1056,zebracross,161,529,174,559
img_106_2000.jpg,816,1056,zebracross,175,559,204,572
img_106_2000.jpg,816,1056,zebracross,200,1008,227,1023
img_106_2000.jpg,816,1056,zebracross,651,983,676,997
img_106_2000.jpg,816,1056,zebracross,681,996,693,1030
img_106_2000.jpg,816,1056,zebracross,640,1002,653,1029
img_106_2000.jpg,816,1056,zebracross,189,1028,201,1056
img_107_1000.jpg,816,1056,zebracross,386,475,445,503
img_107_1000.jpg,816,1056,zebracross,445,502,470,565
img_107_1000.jpg,816,1056,zebracross,363,507,393,571
img_107_1000.jpg,816,1056,zebracross,393,570,445,598
img_107_2000.jpg,816,1056,zebracross,397,506,427,516
img_107_2000.jpg,816,1056,zebracross,386,519,399,551
img_107_2000.jpg,816,1056,zebracross,426,514,439,550
img_107_2000.jpg,816,1056,zebracross,403,552,427,563
img_107_2000.jpg,816,1056,zebracross,427,1001,454,1013
img_107_2000.jpg,816,1056,zebracross,455,1012,468,1024
img_107_2000.jpg,816,1056,zebracross,414,1014,427,1027
img_107_500.jpg,816,1056,zebracross,365,428,476,474
img_107_500.jpg,816,1056,zebracross,478,478,530,607
img_107_500.jpg,816,1056,zebracross,321,482,376,616
img_107_500.jpg,816,1056,zebracross,380,616,474,665
img_108_2000.jpg,816,1056,zebracross,621,485,651,496
img_108_2000.jpg,816,1056,zebracross,650,495,663,530
img_108_2000.jpg,816,1056,zebracross,610,498,623,532
img_108_2000.jpg,816,1056,zebracross,625,531,651,545
img_108_2000.jpg,816,1056,zebracross,651,977,677,995
img_108_2000.jpg,816,1056,zebracross,638,996,651,1028
img_108_2000.jpg,816,1056,zebracross,679,994,691,1026
img_110_1000.jpg,816,1056,zebracross,1,509,17,582
img_110_2000.jpg,816,1056,zebracross,160,518,176,563
img_110_2000.jpg,816,1056,zebracross,199,518,210,557
img_110_2000.jpg,816,1056,zebracross,172,555,208,572
img_111_1000.jpg,816,1056,zebracross,355,486,387,562
img_111_1000.jpg,816,1056,zebracross,430,482,457,554
img_111_1000.jpg,816,1056,zebracross,382,551,445,583
img_111_1000.jpg,816,1056,zebracross,1,503,19,584
img_111_2000.jpg,816,1056,zebracross,422,502,432,540
img_111_2000.jpg,816,1056,zebracross,380,505,396,544
img_111_2000.jpg,816,1056,zebracross,396,540,424,554
img_111_2000.jpg,816,1056,zebracross,203,513,212,556
img_111_2000.jpg,816,1056,zebracross,97,551,131,566
img_111_2000.jpg,816,1056,zebracross,142,554,200,567
img_111_500.jpg,816,1056,zebracross,309,440,361,581
img_111_500.jpg,816,1056,zebracross,453,442,506,578
img_111_500.jpg,816,1056,zebracross,365,580,464,630
img_112_1000.jpg,816,1056,zebracross,546,473,573,549
img_112_1000.jpg,816,1056,zebracross,336,543,401,569
img_112_1000.jpg,816,1056,zebracross,433,545,543,574
img_112_2000.jpg,816,1056,zebracross,373,535,405,549
img_112_2000.jpg,816,1056,zebracross,420,536,479,551
img_112_2000.jpg,816,1056,zebracross,474,497,489,536
img_112_2000.jpg,816,1056,zebracross,656,488,673,523
img_112_2000.jpg,816,1056,zebracross,693,486,710,520
img_112_2000.jpg,816,1056,zebracross,669,521,705,537
img_112_500.jpg,816,1056,zebracross,270,554,393,610
img_112_500.jpg,816,1056,zebracross,437,567,685,620
img_112_500.jpg,816,1056,zebracross,678,417,738,570
img_113_2000.jpg,816,1056,zebracross,407,828,441,846
img_113_2000.jpg,816,1056,zebracross,454,830,512,846
img_113_2000.jpg,816,1056,zebracross,510,792,525,832
img_113_2000.jpg,816,1056,zebracross,691,781,710,819
img_113_2000.jpg,816,1056,zebracross,730,782,744,819
img_113_2000.jpg,816,1056,zebracross,705,817,736,833
img_114_2000.jpg,816,1056,zebracross,339,235,377,251
img_114_2000.jpg,816,1056,zebracross,386,237,444,256
img_114_2000.jpg,816,1056,zebracross,442,198,457,239
img_114_2000.jpg,816,1056,zebracross,623,188,642,229
img_114_2000.jpg,816,1056,zebracross,666,188,678,224
img_114_2000.jpg,816,1056,zebracross,637,223,672,237
img_114_2000.jpg,816,1056,zebracross,425,781,445,796
img_114_2000.jpg,816,1056,zebracross,393,784,416,798
img_115_1000.jpg,816,1056,zebracross,430,497,470,530
img_115_1000.jpg,816,1056,zebracross,363,501,407,533
img_115_2000.jpg,816,1056,zebracross,419,510,440,530
img_115_2000.jpg,816,1056,zebracross,384,515,411,530
img_115_2000.jpg,816,1056,zebracross,431,923,460,948
img_115_2000.jpg,816,1056,zebracross,466,915,493,936
img_115_2000.jpg,816,1056,zebracross,498,925,514,967
img_115_500.jpg,816,1056,zebracross,452,465,517,529
img_115_500.jpg,816,1056,zebracross,317,473,403,543
img_116_1000.jpg,816,1056,zebracross,421,438,472,484
img_116_1000.jpg,816,1056,zebracross,353,456,412,501
img_116_1000.jpg,816,1056,zebracross,484,459,518,542
img_116_1000.jpg,816,1056,zebracross,505,931,547,1033
img_116_2000.jpg,816,1056,zebracross,366,80,387,97
img_116_2000.jpg,816,1056,zebracross,332,82,356,98
img_116_2000.jpg,816,1056,zebracross,415,483,441,505
img_116_2000.jpg,816,1056,zebracross,380,490,412,513
img_116_2000.jpg,816,1056,zebracross,447,492,463,537
img_116_2000.jpg,816,1056,zebracross,457,729,476,780
img_116_2000.jpg,816,1056,zebracross,378,764,396,780
img_116_2000.jpg,816,1056,zebracross,404,770,426,788
img_116_2000.jpg,816,1056,zebracross,440,777,463,793
img_116_2000.jpg,816,1056,zebracross,480,874,492,890
img_116_500.jpg,816,1056,zebracross,431,348,544,427
img_116_500.jpg,816,1056,zebracross,292,389,424,482
img_116_500.jpg,816,1056,zebracross,558,399,629,578
img_117_1000.jpg,816,1056,zebracross,1,1007,26,1054
img_117_2000.jpg,816,1056,zebracross,165,765,182,802
img_117_2000.jpg,816,1056,zebracross,200,766,219,803
img_117_2000.jpg,816,1056,zebracross,180,801,207,819
img_119_2000.jpg,816,1056,zebracross,639,727,671,742
img_119_2000.jpg,816,1056,zebracross,667,740,683,774
img_119_2000.jpg,816,1056,zebracross,629,743,644,776
img_119_2000.jpg,816,1056,zebracross,644,773,669,791
img_120_1000.jpg,816,1056,zebracross,411,960,470,987
img_120_1000.jpg,816,1056,zebracross,471,984,498,1045
img_120_1000.jpg,816,1056,zebracross,396,992,418,1051
img_120_2000.jpg,816,1056,zebracross,410,743,442,756
img_120_2000.jpg,816,1056,zebracross,439,755,453,790
img_120_2000.jpg,816,1056,zebracross,398,757,414,791
img_120_2000.jpg,816,1056,zebracross,415,791,443,806
img_121_2000.jpg,816,1056,zebracross,177,1020,191,1054
img_121_2000.jpg,816,1056,zebracross,212,1019,231,1053
img_123_2000.jpg,816,1056,zebracross,647,978,677,991
